stop_name,year,Borough,gtfs_longitude,gtfs_latitude,entries
1 Av,2019,Manhattan,-73.981628,40.730953,14731.638356164385
1 Av,2020,Manhattan,-73.981628,40.730953,5858.733333333334
1 Av,2021,Manhattan,-73.981628,40.730953,7164.077151335313
103 St,2019,Manhattan,-73.968379,40.799446,10356.465753424658
103 St,2019,Manhattan,-73.961454,40.796092,4135.219178082191
103 St,2019,Manhattan,-73.947478,40.7906,11133.287671232876
103 St,2020,Manhattan,-73.968379,40.799446,3826.891666666667
103 St,2020,Manhattan,-73.961454,40.796092,1516.4388888888889
103 St,2020,Manhattan,-73.947478,40.7906,4886.705555555554
103 St,2021,Manhattan,-73.968379,40.799446,4036.646884272997
103 St,2021,Manhattan,-73.961454,40.796092,1535.1899109792284
103 St,2021,Manhattan,-73.947478,40.7906,4871.219584569733
103 St - Corona Plaza,2019,Queens,-73.8627,40.749865,17618.797260273972
103 St - Corona Plaza,2020,Queens,-73.8627,40.749865,8872.355555555556
103 St - Corona Plaza,2021,Queens,-73.8627,40.749865,9834.991097922848
104 St,2019,Queens,-73.84433,40.69517800000001,2148.956164383562
104 St,2019,Queens,-73.837683,40.681711,1495.9890410958906
104 St,2020,Queens,-73.84433,40.69517800000001,1007.875
104 St,2020,Queens,-73.837683,40.681711,683.0361111111113
104 St,2021,Queens,-73.84433,40.69517800000001,1078.9881305637982
104 St,2021,Queens,-73.837683,40.681711,686.0860534124629
110 St,2019,Manhattan,-73.94425,40.79502,9158.744505494506
110 St,2020,Manhattan,-73.94425,40.79502,3863.208333333334
110 St,2021,Manhattan,-73.94425,40.79502,3939.353115727003
111 St,2019,Queens,-73.855334,40.75173,10594.741758241758
111 St,2019,Queens,-73.836345,40.697418,1613.5882352941173
111 St,2019,Queens,-73.832163,40.684331,2119.3068493150686
111 St,2020,Queens,-73.855334,40.75173,5774.25
111 St,2020,Queens,-73.836345,40.697418,841.4944444444444
111 St,2020,Queens,-73.832163,40.684331,949.4527777777777
111 St,2021,Queens,-73.855334,40.75173,5926.910979228486
111 St,2021,Queens,-73.836345,40.697418,943.1572700296737
111 St,2021,Queens,-73.832163,40.684331,940.4213649851632
116 St,2019,Manhattan,-73.954882,40.805085,6330.690410958904
116 St,2019,Manhattan,-73.949625,40.802098,9251.791780821917
116 St,2019,Manhattan,-73.94161700000002,40.798629,12649.945205479453
116 St,2020,Manhattan,-73.954882,40.805085,2364.655555555556
116 St,2020,Manhattan,-73.949625,40.802098,3690.458333333334
116 St,2020,Manhattan,-73.94161700000002,40.798629,5411.969444444445
116 St,2021,Manhattan,-73.954882,40.805085,2286.774480712166
116 St,2021,Manhattan,-73.949625,40.802098,3669.575667655786
116 St,2021,Manhattan,-73.94161700000002,40.798629,5371.498516320475
116 St - Columbia University,2019,Manhattan,-73.96410999999998,40.807722,12016.315068493152
116 St - Columbia University,2020,Manhattan,-73.96410999999998,40.807722,3318.75
116 St - Columbia University,2021,Manhattan,-73.96410999999998,40.807722,3217.4401197604793
121 St,2019,Queens,-73.828294,40.700492,1897.328767123288
121 St,2020,Queens,-73.828294,40.700492,888.5305555555556
121 St,2021,Queens,-73.828294,40.700492,1000.0771513353116
125 St,2019,Manhattan,-73.958372,40.815581,6548.471232876713
125 St,2019,Manhattan,-73.952343,40.811109,25651.471074380166
125 St,2019,Manhattan,-73.945495,40.807754,23751.20547945205
125 St,2019,Manhattan,-73.93759399999998,40.804138,23851.95616438356
125 St,2020,Manhattan,-73.958372,40.815581,2512.983333333333
125 St,2020,Manhattan,-73.952343,40.811109,10245.85
125 St,2020,Manhattan,-73.945495,40.807754,4971.055555555556
125 St,2020,Manhattan,-73.93759399999998,40.804138,9678.980555555556
125 St,2021,Manhattan,-73.958372,40.815581,2542.305637982196
125 St,2021,Manhattan,-73.952343,40.811109,9817.183976261127
125 St,2021,Manhattan,-73.945495,40.807754,4835.7418397626125
125 St,2021,Manhattan,-73.93759399999998,40.804138,9011.299703264094
135 St,2019,Manhattan,-73.947649,40.817894,4844.767123287671
135 St,2019,Manhattan,-73.94077,40.814229,11911.211699164343
135 St,2020,Manhattan,-73.947649,40.817894,1776.1361111111112
135 St,2020,Manhattan,-73.94077,40.814229,5010.15
135 St,2021,Manhattan,-73.947649,40.817894,1654.9970326409493
135 St,2021,Manhattan,-73.94077,40.814229,4771.106824925816
137 St - City College,2019,Manhattan,-73.953676,40.822008,10748.586301369865
137 St - City College,2020,Manhattan,-73.953676,40.822008,4555.997222222222
137 St - City College,2021,Manhattan,-73.953676,40.822008,4431.050445103858
138 St - Grand Concourse,2019,Bronx,-73.929849,40.813224,2884.3972602739727
138 St - Grand Concourse,2020,Bronx,-73.929849,40.813224,983.0891364902507
138 St - Grand Concourse,2021,Bronx,-73.929849,40.813224,1503.7448071216618
14 St - Union Sq,2019,Manhattan,-73.99056800000002,40.735736,87991.17534246574
145 St,2019,Manhattan,-73.95036,40.826551,8122.632876712329
145 St,2019,Manhattan,-73.944216,40.824783,20730.650969529084
145 St,2019,Manhattan,-73.936245,40.820421,2718.67397260274
145 St,2020,Manhattan,-73.95036,40.826551,3291.4972222222223
145 St,2020,Manhattan,-73.944216,40.824783,8221.072222222223
145 St,2020,Manhattan,-73.936245,40.820421,1229.8638888888886
145 St,2021,Manhattan,-73.95036,40.826551,3497.6083086053413
145 St,2021,Manhattan,-73.944216,40.824783,7800.0445103857555
145 St,2021,Manhattan,-73.936245,40.820421,1243.8011869436202
149 St - Grand Concourse,2020,Bronx,-73.927351,40.818375,4840.516666666666
149 St - Grand Concourse,2021,Bronx,-73.927351,40.818375,4401.715133531157
15 St - Prospect Park,2019,Brooklyn,-73.979493,40.66036500000001,5426.246575342466
15 St - Prospect Park,2020,Brooklyn,-73.979493,40.66036500000001,1879.3861111111112
15 St - Prospect Park,2021,Brooklyn,-73.979493,40.66036500000001,1825.7922848664691
155 St,2019,Manhattan,-73.941514,40.830518,2488.6383561643834
155 St,2019,Manhattan,-73.938209,40.830135,3137.3643835616444
155 St,2020,Manhattan,-73.941514,40.830518,985.7027777777777
155 St,2020,Manhattan,-73.938209,40.830135,1506.225
155 St,2021,Manhattan,-73.941514,40.830518,963.5875370919881
155 St,2021,Manhattan,-73.938209,40.830135,1433.994065281899
157 St,2019,Manhattan,-73.94489,40.834041,10330.986301369865
157 St,2020,Manhattan,-73.94489,40.834041,3683.6112676056337
157 St,2021,Manhattan,-73.94489,40.834041,3910.109792284866
161 St - Yankee Stadium,2019,Bronx,-73.925651,40.827905,22849.66849315069
161 St - Yankee Stadium,2020,Bronx,-73.925651,40.827905,8540.697222222223
